freq_rank,lemma
1704,wolf
1705,precious
1706,coast
1707,material
1708,uniform
1709,rice
1710,exchange
1711,blake
1712,beast
1713,cow
1714,drag
1715,cab
1716,hung
1717,ordinary
1718,successful
1719,eve
1720,japan
1721,creature
1722,fourth
1723,separate
1724,california
1725,lf
1726,shift
1727,elizabeth
1728,chicago
1729,karen
1730,goal
1731,expert
1732,score
1733,row
1734,twenty
1735,seri
1736,section
1737,pilot
1738,jackson
1739,darkness
1740,thy
1741,sale
1742,destiny
1743,cure
1744,spoken
1745,rare
1746,helen
1747,grade
1748,juice
1749,wide
1750,tower
1751,solution
1752,schedule
1753,explosion
1754,wheel
1755,cigarette
1756,julie
1757,fruit
1758,blew
1759,victor
1760,sacrifice
1761,range
1762,button
1763,prisoner
1764,pie
1765,effort
1766,youth
1767,pot
1768,eaten
1769,taylor
1770,knee
1771,garage
1772,ambulance
1773,circumstance
1774,sin
1775,gordon
1776,progress
1777,unusual
1778,county
1779,stair
1780,campaign
1781,vision
1782,reporter
1783,equipment
1784,joey
1785,mass
1786,alien
1787,route
1788,defend
1789,trace
1790,nasty
1791,magazine
1792,dump
1793,rude
1794,clue
1795,connect
1796,amen
1797,merry
1798,zone
1799,senior
1800,freeze
1801,emperor
1802,incident
1803,snake
1804,mexico
1805,li
1806,actor
1807,newspaper
1808,sentence
1809,greg
1810,jon
1811,chosen
1812,engage
1813,julia
1814,charm
1815,anger
1816,spy
1817,sharp
1818,shadow
1819,warrant
1820,elevator
1821,kingdom
1822,ricky
1823,jamie
1824,squad
1825,shoulder
1826,wave
1827,amanda
1828,highness
1829,attitude
1830,negative
1831,screen
1832,worker
1833,similar
1834,chain
1835,bull
1836,fully
1837,robin
1838,collect
1839,gorgeous
1840,morgan
1841,passion
1842,writer
1843,empire
1844,international
1845,curse
1846,hire
1847,id
1848,estate
1849,customer
1850,maggie
1851,gunshot
1852,device
1853,troop
1854,hug
1855,design
1856,movement
1857,thunder
1858,object
1859,loser
1860,pen
1861,sob
1862,politic
1863,despite
1864,alcohol
1865,climb
1866,conference
1867,provide
1868,marty
1869,seek
1870,earn
1871,trash
1872,valley
1873,fashion
1874,howard
1875,episode
1876,prize
1877,previous
1878,sport
1879,debt
1880,hitler
1881,wire
1882,thee
